SetId,MemberId,SetDesc,MemberDesc
69,0,Active Inactive,Active
69,2,Active Inactive,Hold
69,1,Active Inactive,Inactive
1656,2,Active Node Table,My Address In Token Ring
1656,1,Active Node Table,Node In Token Ring
1656,0,Active Node Table,Node Not In Token Ring
1657,5,Active Node Table Status,Excluded Due To Duplicate Node Address
1657,2,Active Node Table Status,Excluded From Token Ring
1657,3,Active Node Table Status,Only Master In Token Ring
1657,4,Active Node Table Status,Participating In Token Ring
1657,0,Active Node Table Status,Token Ring Monitoring Disabled
1657,1,Active Node Table Status,Token Ring Status Pending
718,2,Active Timer Set,Maximum Shed
718,3,Active Timer Set,Minimum Release
718,1,Active Timer Set,Minimum Shed
718,0,Active Timer Set,None
1695,0,Active/Inactive,Active
1695,1,Active/Inactive,Inactive
1638,0,Actual Economizer Type,Dry Bulb Temperature
1638,2,Actual Economizer Type,Dual Enthalpy
1638,1,Actual Economizer Type,Single Enthalpy
1638,3,Actual Economizer Type,Unreliable
1670,4,Actuator_Diagnostic,End of Line
1670,1,Actuator_Diagnostic,Failed
1670,2,Actuator_Diagnostic,Mechanical Failure
1670,0,Actuator_Diagnostic,Ok
1670,3,Actuator_Diagnostic,Unstable
1669,2,Actuator_Status,Driving CCW
1669,1,Actuator_Status,Driving CW
1669,6,Actuator_Status,End Stop CCW
1669,5,Actuator_Status,End Stop CW
1669,0,Actuator_Status,Idle
1669,4,Actuator_Status,Stalled CCW
1669,3,Actuator_Status,Stalled CW
1006,0,ADA Relay Connected,Not Connected
1006,2,ADA Relay Connected,to Green Light Output
1006,1,ADA Relay Connected,to Shunt Output
2556,1,Add Local Display Behavior,Auto
2556,0,Add Local Display Behavior,None
3077,217,Addison DOAS Names,alarm_reset
3077,216,Addison DOAS Names,alarm_status
3077,119,Addison DOAS Names,archive_now
3077,117,Addison DOAS Names,bas_comm_lost
3077,209,Addison DOAS Names,bas_comm_lost_alarm
3077,0,Addison DOAS Names,bas_comm_lost_delay
3077,118,Addison DOAS Names,bas_comm_status
3077,182,Addison DOAS Names,c1_alarm
3077,137,Addison DOAS Names,c1_cmd
3077,148,Addison DOAS Names,c1_freeze_stat
3077,190,Addison DOAS Names,c1_hand_alarm
3077,183,Addison DOAS Names,c1_stop_alarm
3077,139,Addison DOAS Names,c1_unl_cmd
3077,215,Addison DOAS Names,c1c2_stop_disables_unit
3077,191,Addison DOAS Names,c1rt_alarm
3077,192,Addison DOAS Names,c2_alarm
3077,138,Addison DOAS Names,c2_cmd
3077,149,Addison DOAS Names,c2_freeze_stat
3077,200,Addison DOAS Names,c2_hand_alarm
3077,193,Addison DOAS Names,c2_stop_alarm
3077,201,Addison DOAS Names,c2rt_alarm
3077,125,Addison DOAS Names,cc1_cs_stat
3077,128,Addison DOAS Names,cc2_cs_stat
3077,204,Addison DOAS Names,cfi_alarm
3077,131,Addison DOAS Names,cfi_stat
3077,221,Addison DOAS Names,clg_dem_adj
3077,38,Addison DOAS Names,clg_llim
3077,39,Addison DOAS Names,clg_llim_u
3077,34,Addison DOAS Names,clg_sat_sp_o
3077,35,Addison DOAS Names,clg_sat_sp_u
3077,222,Addison DOAS Names,clg_zat_sp
3077,223,Addison DOAS Names,clg_zat_sp_o
3077,224,Addison DOAS Names,clg_zat_sp_u
3077,146,Addison DOAS Names,clg1_en
3077,37,Addison DOAS Names,clg1_zat_ldb
3077,36,Addison DOAS Names,clg1_zat_udb
3077,30,Addison DOAS Names,clg1a_en_ldb
3077,28,Addison DOAS Names,clg1a_en_sp
3077,29,Addison DOAS Names,clg1a_en_udb
3077,33,Addison DOAS Names,clg1b_en_ldb
3077,31,Addison DOAS Names,clg1b_en_sp
3077,32,Addison DOAS Names,clg1b_en_udb
3077,87,Addison DOAS Names,clg2_delay
3077,147,Addison DOAS Names,clg2_en
3077,52,Addison DOAS Names,clg2_zat_ldb
3077,51,Addison DOAS Names,clg2_zat_udb
3077,47,Addison DOAS Names,clg2a_en_ldb
3077,45,Addison DOAS Names,clg2a_en_sp
3077,46,Addison DOAS Names,clg2a_en_udb
3077,50,Addison DOAS Names,clg2b_en_ldb
3077,48,Addison DOAS Names,clg2b_en_sp
3077,49,Addison DOAS Names,clg2b_en_udb
3077,225,Addison DOAS Names,clgstg_sf_min_out
3077,145,Addison DOAS Names,comp_dis
3077,226,Addison DOAS Names,comp_minoff
3077,227,Addison DOAS Names,comp_minon
3077,228,Addison DOAS Names,comp_rotation_cycle
3077,229,Addison DOAS Names,comp_runtime_max
3077,289,Addison DOAS Names,comp_setup
3077,2,Addison DOAS Names,condition
3077,205,Addison DOAS Names,cos_alarm
3077,132,Addison DOAS Names,cos_stat
3077,290,Addison DOAS Names,cos_use
3077,62,Addison DOAS Names,dh_llim
3077,64,Addison DOAS Names,dh_mod_sp
3077,59,Addison DOAS Names,dh_sat_sp_o
3077,60,Addison DOAS Names,dh_sat_sp_u
3077,55,Addison DOAS Names,dh_sp_o
3077,56,Addison DOAS Names,dh_sp_u
3077,61,Addison DOAS Names,dh_zat_udb
3077,152,Addison DOAS Names,dh1_en
3077,58,Addison DOAS Names,dh1_ldb
3077,63,Addison DOAS Names,dh1_stat
3077,57,Addison DOAS Names,dh1_udb
3077,153,Addison DOAS Names,dh2_en
3077,66,Addison DOAS Names,dh2_ldb
3077,67,Addison DOAS Names,dh2_stat
3077,65,Addison DOAS Names,dh2_udb
3077,98,Addison DOAS Names,dig_c1_pct
3077,100,Addison DOAS Names,dig_c2_pct
3077,96,Addison DOAS Names,dig1_min
3077,291,Addison DOAS Names,dig1_ovrd_cmd
3077,99,Addison DOAS Names,dig1_pct_c2
3077,97,Addison DOAS Names,dig1_pid_ovrd
3077,158,Addison DOAS Names,dig1_pid_ovrd_lock
3077,230,Addison DOAS Names,dig1_unl_llim
3077,292,Addison DOAS Names,dig1_unl_ovrd_cmd
3077,293,Addison DOAS Names,dig2_ovrd_cmd
3077,294,Addison DOAS Names,dig2_unl_ovrd_cmd
3077,231,Addison DOAS Names,dx_lat_sp
3077,171,Addison DOAS Names,dx_lat1_failure
3077,13,Addison DOAS Names,dx_lat1_stat
3077,172,Addison DOAS Names,dx_lat2_failure
3077,14,Addison DOAS Names,dx_lat2_stat
3077,232,Addison DOAS Names,ea_dewpoint
3077,233,Addison DOAS Names,ea_enthalpy
3077,17,Addison DOAS Names,ec_dewpoint
3077,18,Addison DOAS Names,ec_enthalpy
3077,234,Addison DOAS Names,ecat_clg_sp
3077,164,Addison DOAS Names,ecat_failure
3077,235,Addison DOAS Names,ecat_htg_sp
3077,236,Addison DOAS Names,ecat_htg_ulim
3077,237,Addison DOAS Names,ecat_htgsp_ldb
3077,238,Addison DOAS Names,ecat_htgsp_udb
3077,6,Addison DOAS Names,ecat_stat
3077,239,Addison DOAS Names,econ_oaenth_swo_sp
3077,295,Addison DOAS Names,econ_setup
3077,240,Addison DOAS Names,econ_swo_sp
3077,165,Addison DOAS Names,ecrh_failure
3077,7,Addison DOAS Names,ecrh_stat
3077,212,Addison DOAS Names,ecw_alarm
3077,140,Addison DOAS Names,ecw_cmd
3077,122,Addison DOAS Names,ecw_cs_stat
3077,91,Addison DOAS Names,ecw_def_lsp
3077,84,Addison DOAS Names,ecw_econ_ldb
3077,83,Addison DOAS Names,ecw_econ_udb
3077,142,Addison DOAS Names,ecw_en
3077,241,Addison DOAS Names,ecw_fail_delay
3077,213,Addison DOAS Names,ecw_hand_alarm
3077,89,Addison DOAS Names,ecw_min_out
3077,242,Addison DOAS Names,ecw_ovrd_cmd
3077,90,Addison DOAS Names,ecw_pid_ovrd
3077,155,Addison DOAS Names,ecw_pid_ovrd_lock
3077,143,Addison DOAS Names,ecw_stat
3077,214,Addison DOAS Names,ecwrt_alarm
3077,243,Addison DOAS Names,ecwrt_max
3077,21,Addison DOAS Names,ecwvfd_freq
3077,179,Addison DOAS Names,ef_alarm
3077,123,Addison DOAS Names,ef_aps_stat
3077,144,Addison DOAS Names,ef_cmd
3077,180,Addison DOAS Names,ef_hand_alarm
3077,94,Addison DOAS Names,ef_min_out
3077,81,Addison DOAS Names,ef_min_time_on
3077,244,Addison DOAS Names,ef_minon_time
3077,245,Addison DOAS Names,ef_off_delay
3077,246,Addison DOAS Names,ef_ovrd_cmd
3077,95,Addison DOAS Names,ef_pid_ovrd
3077,157,Addison DOAS Names,ef_pid_ovrd_lock
3077,247,Addison DOAS Names,ef_ramp_rate
3077,248,Addison DOAS Names,ef_runtime_max
3077,249,Addison DOAS Names,ef_setup
3077,110,Addison DOAS Names,efaps_ovrd_time
3077,23,Addison DOAS Names,efmod_pct
3077,181,Addison DOAS Names,efrt_alarm
3077,206,Addison DOAS Names,em_shtdn_alarm
3077,162,Addison DOAS Names,emsd_en
3077,133,Addison DOAS Names,emsd_stat
3077,163,Addison DOAS Names,emsd_status
3077,296,Addison DOAS Names,emsd_use
3077,116,Addison DOAS Names,en_bas_mon
3077,250,Addison DOAS Names,fan_fail_delay
3077,82,Addison DOAS Names,fp_delay
3077,42,Addison DOAS Names,fp_lsp
3077,41,Addison DOAS Names,fp_msp
3077,40,Addison DOAS Names,fp_usp
3077,188,Addison DOAS Names,fp1_alarm
3077,189,Addison DOAS Names,fp1_stop_alarm
3077,198,Addison DOAS Names,fp2_alarm
3077,199,Addison DOAS Names,fp2_stop_alarm
3077,297,Addison DOAS Names,fscs_ef_cmd
3077,298,Addison DOAS Names,fscs_sf_cmd
3077,111,Addison DOAS Names,heat_fail_delay
3077,202,Addison DOAS Names,heat_failure
3077,299,Addison DOAS Names,heat_faiure
3077,106,Addison DOAS Names,heat_sp
3077,251,Addison DOAS Names,hgrg_pid_ovrd
3077,252,Addison DOAS Names,hgrg_pid_ovrd_lock
3077,24,Addison DOAS Names,hgrh_mod
3077,101,Addison DOAS Names,hgrh_mod_min
3077,300,Addison DOAS Names,hgrh_ovrd_cmd
3077,102,Addison DOAS Names,hgrh_pid_ovrd
3077,159,Addison DOAS Names,hgrh_pid_ovrd_lock
3077,184,Addison DOAS Names,hps1_alarm
3077,127,Addison DOAS Names,hps1_stat
3077,185,Addison DOAS Names,hps1_stop_alarm
3077,194,Addison DOAS Names,hps2_alarm
3077,130,Addison DOAS Names,hps2_stat
3077,195,Addison DOAS Names,hps2_stop_alarm
3077,203,Addison DOAS Names,hsat_alarm
3077,177,Addison DOAS Names,hsdp_alarm
3077,253,Addison DOAS Names,hsdp_alm_reset_delay
3077,254,Addison DOAS Names,hsdp_hlim
3077,178,Addison DOAS Names,hsdp_stop_alarm
3077,255,Addison DOAS Names,htg_dem_adj
3077,70,Addison DOAS Names,htg_en_ldb
3077,68,Addison DOAS Names,htg_en_sp
3077,69,Addison DOAS Names,htg_en_udb
3077,77,Addison DOAS Names,htg_hlim
3077,25,Addison DOAS Names,htg_mod
3077,103,Addison DOAS Names,htg_mod_min
3077,301,Addison DOAS Names,htg_ovrd_cmd
3077,104,Addison DOAS Names,htg_pid_ovrd
3077,160,Addison DOAS Names,htg_pid_ovrd_lock
3077,150,Addison DOAS Names,htg_rh_en
3077,74,Addison DOAS Names,htg_sat_ldb
3077,71,Addison DOAS Names,htg_sat_sp_o
3077,72,Addison DOAS Names,htg_sat_sp_u
3077,73,Addison DOAS Names,htg_sat_udb
3077,105,Addison DOAS Names,htg_sensor
3077,76,Addison DOAS Names,htg_zat_ldb
3077,256,Addison DOAS Names,htg_zat_sp
3077,257,Addison DOAS Names,htg_zat_sp_o
3077,258,Addison DOAS Names,htg_zat_sp_u
3077,75,Addison DOAS Names,htg_zat_udb
3077,259,Addison DOAS Names,htgstg_sf_min_out
3077,208,Addison DOAS Names,low_sat_alarm
3077,113,Addison DOAS Names,low_sat_delay
3077,220,Addison DOAS Names,lps_bpt
3077,186,Addison DOAS Names,lps1_alarm
3077,126,Addison DOAS Names,lps1_stat
3077,187,Addison DOAS Names,lps1_stop_alarm
3077,196,Addison DOAS Names,lps2_alarm
3077,129,Addison DOAS Names,lps2_stat
3077,197,Addison DOAS Names,lps2_stop_alarm
3077,88,Addison DOAS Names,mode_switch_delay
3077,120,Addison DOAS Names,nsb_on
3077,260,Addison DOAS Names,oa_dewpoint
3077,261,Addison DOAS Names,oa_enthalpy
3077,210,Addison DOAS Names,oada_alarm
3077,141,Addison DOAS Names,oada_cmd
3077,302,Addison DOAS Names,oada_es_use
3077,211,Addison DOAS Names,oada_hand_alarm
3077,107,Addison DOAS Names,oada_ovrd_time
3077,121,Addison DOAS Names,oada_stat
3077,262,Addison DOAS Names,oarh_bas
3077,263,Addison DOAS Names,oat_bas
3077,166,Addison DOAS Names,oat_failure
3077,8,Addison DOAS Names,oat_stat
3077,303,Addison DOAS Names,oat_use
3077,304,Addison DOAS Names,occ_clock_ovrd_cmd
3077,264,Addison DOAS Names,occ_co2_hlim
3077,265,Addison DOAS Names,occ_co2_llim
3077,266,Addison DOAS Names,occ_co2_minon_time
3077,280,Addison DOAS Names,occ_co2_req
3077,305,Addison DOAS Names,occ_co2_use
3077,219,Addison DOAS Names,occ_control
3077,114,Addison DOAS Names,occ_en
3077,281,Addison DOAS Names,occ_en_bas
3077,306,Addison DOAS Names,occ_manual_ovrd_mode
3077,307,Addison DOAS Names,occ_sensor_setup
3077,115,Addison DOAS Names,occ_status
3077,4,Addison DOAS Names,op_cond
3077,5,Addison DOAS Names,op_mode
3077,218,Addison DOAS Names,opt_start_on
3077,308,Addison DOAS Names,opt_use
3077,309,Addison DOAS Names,peak_schedule
3077,85,Addison DOAS Names,purge_cycle
3077,86,Addison DOAS Names,purge_time_on
3077,267,Addison DOAS Names,ra_dewpoint
3077,268,Addison DOAS Names,ra_enthalpy
3077,167,Addison DOAS Names,rat_failure
3077,9,Addison DOAS Names,rat_stat
3077,151,Addison DOAS Names,rh_cmd
3077,54,Addison DOAS Names,rh_sat_ldb
3077,53,Addison DOAS Names,rh_sat_udb
3077,19,Addison DOAS Names,sa_dewpoint
3077,20,Addison DOAS Names,sa_enthalpy
3077,169,Addison DOAS Names,sarh_failure
3077,11,Addison DOAS Names,sarh_stat
3077,168,Addison DOAS Names,sat_failure
3077,78,Addison DOAS Names,sat_heat_fail
3077,79,Addison DOAS Names,sat_high_limit
3077,112,Addison DOAS Names,sat_low_limit
3077,44,Addison DOAS Names,sat_max_reset
3077,43,Addison DOAS Names,sat_ratio
3077,10,Addison DOAS Names,sat_stat
3077,279,Addison DOAS Names,sat_stat_ovrd
3077,282,Addison DOAS Names,sat_stat_ovrd_lock
3077,207,Addison DOAS Names,sd_alarm
3077,134,Addison DOAS Names,sd_stat
3077,310,Addison DOAS Names,sd_use
3077,311,Addison DOAS Names,sensor_failure
3077,174,Addison DOAS Names,sf_alarm
3077,124,Addison DOAS Names,sf_aps_stat
3077,269,Addison DOAS Names,sf_cfm_sp
3077,136,Addison DOAS Names,sf_cmd
3077,26,Addison DOAS Names,sf_dpt_sp
3077,15,Addison DOAS Names,sf_dpt_stat
3077,175,Addison DOAS Names,sf_hand_alarm
3077,312,Addison DOAS Names,sf_lockout
3077,92,Addison DOAS Names,sf_min_out
3077,80,Addison DOAS Names,sf_min_time_on
3077,313,Addison DOAS Names,sf_ovrd_cmd
3077,93,Addison DOAS Names,sf_pid_ovrd
3077,156,Addison DOAS Names,sf_pid_ovrd_lock
3077,270,Addison DOAS Names,sf_ramp_rate
3077,314,Addison DOAS Names,sf_setup
3077,283,Addison DOAS Names,sfaps_ovrd_lock
3077,315,Addison DOAS Names,sfaps_ovrd_sts_cmd
3077,109,Addison DOAS Names,sfaps_ovrd_time
3077,22,Addison DOAS Names,sfmod_pct
3077,176,Addison DOAS Names,sfrt_alarm
3077,271,Addison DOAS Names,sfrt_max
3077,173,Addison DOAS Names,sp_alarm
3077,316,Addison DOAS Names,ss_stop_alarm
3077,135,Addison DOAS Names,ss_sw_stat
3077,317,Addison DOAS Names,ss_sw_use
3077,284,Addison DOAS Names,sys_reset
3077,318,Addison DOAS Names,sys_safeties
3077,319,Addison DOAS Names,sys_sst_state
3077,1,Addison DOAS Names,time_remain
3077,3,Addison DOAS Names,time_til_trans
3077,285,Addison DOAS Names,tuning_reset
3077,161,Addison DOAS Names,unit_stop
3077,272,Addison DOAS Names,vol_diff_sp
3077,273,Addison DOAS Names,vol_range
3077,154,Addison DOAS Names,w1_en
3077,170,Addison DOAS Names,wexat_failure
3077,12,Addison DOAS Names,wexat_stat
3077,286,Addison DOAS Names,wexat_stat_ovrd_lock
3077,108,Addison DOAS Names,wmcs_ovrd_time
3077,274,Addison DOAS Names,zat_bas
3077,275,Addison DOAS Names,zat_ratio
3077,276,Addison DOAS Names,zat_stat
3077,277,Addison DOAS Names,zn_dpt_ovrd
3077,287,Addison DOAS Names,zn_dpt_ovrd_lock
3077,27,Addison DOAS Names,zn_dpt_sp
3077,16,Addison DOAS Names,zn_dpt_stat
3077,320,Addison DOAS Names,znsp_setup
3077,278,Addison DOAS Names,znt_stat_ovrd
3077,288,Addison DOAS Names,znt_stat_ovrd_lock
569,1,Ads Connection Type,Dial
569,0,Ads Connection Type,LAN
557,1,Aggregate Function,Average
557,3,Aggregate Function,Maximum
557,2,Aggregate Function,Minimum
557,0,Aggregate Function,NONE
557,5,Aggregate Function,Range
557,4,Aggregate Function,Standard Deviation
557,6,Aggregate Function,Sum
557,7,Aggregate Function,Variance
392,3,AHU 100 OA StartStop States,Cold Start
392,7,AHU 100 OA StartStop States,Fan Fault
392,4,AHU 100 OA StartStop States,Normal Start
392,0,AHU 100 OA StartStop States,Off
392,5,AHU 100 OA StartStop States,On
392,2,AHU 100 OA StartStop States,Ramp SF
392,1,AHU 100 OA StartStop States,Start Fans
392,6,AHU 100 OA StartStop States,Stop Fans
1187,6,AHU 2 Pipe Htg Valve Out,Failsoft
1187,3,AHU 2 Pipe Htg Valve Out,Hold
1187,2,AHU 2 Pipe Htg Valve Out,Limited Max
1187,7,AHU 2 Pipe Htg Valve Out,Low OA Temperature
1187,1,AHU 2 Pipe Htg Valve Out,Max
1187,0,AHU 2 Pipe Htg Valve Out,Off
1187,8,AHU 2 Pipe Htg Valve Out,Remain In Control
1187,5,AHU 2 Pipe Htg Valve Out,T Control
1187,4,AHU 2 Pipe Htg Valve Out,Water Flush
1188,7,AHU 2 Pipe Htg Valve State,Cooling T Control
1188,9,AHU 2 Pipe Htg Valve State,Failsoft Cooling
1188,8,AHU 2 Pipe Htg Valve State,Failsoft Heating
1188,6,AHU 2 Pipe Htg Valve State,Heating T Control
1188,4,AHU 2 Pipe Htg Valve State,Hold
1188,3,AHU 2 Pipe Htg Valve State,Limited Max Cooling
1188,2,AHU 2 Pipe Htg Valve State,Limited Max Heating
1188,10,AHU 2 Pipe Htg Valve State,Low OA Temperature
1188,1,AHU 2 Pipe Htg Valve State,Max
1188,0,AHU 2 Pipe Htg Valve State,Off
1188,11,AHU 2 Pipe Htg Valve State,Remain In Control
1188,5,AHU 2 Pipe Htg Valve State,Water Flush
944,6,AHU 2 Sequenced Valves Out,Failsoft
944,3,AHU 2 Sequenced Valves Out,Hold
944,2,AHU 2 Sequenced Valves Out,Limited Max
944,5,AHU 2 Sequenced Valves Out,LL-T Control
